	GWC2	ORAL_P_A_F_Bin_00012	ORAL_P_A_F_Bin_00021	ORAL_P_A_F_Bin_00032	ORAL_P_A_F_Bin_00045	ORAL_P_A_F_MAG_00015	ORAL_P_A_M_Bin_00015	ORAL_P_A_M_Bin_00020	ORAL_P_B_F_Bin_00037	ORAL_P_B_F_MAG_00010	ORAL_P_B_F_MAG_00020	ORAL_P_B_F_MAG_00026	ORAL_P_B_F_MAG_00030	ORAL_P_B_M_Bin_00030	ORAL_P_B_M_MAG_00009	ORAL_P_B_M_MAG_00010	ORAL_P_B_M_MAG_00013	ORAL_P_C_F_Bin_00020	ORAL_P_C_F_Bin_00028	ORAL_P_C_F_MAG_00002	ORAL_P_C_F_MAG_00004	ORAL_P_C_M_Bin_00016	ORAL_P_C_M_Bin_00022	ORAL_P_C_M_Bin_00040	ORAL_P_C_M_MAG_00010	ORAL_P_C_M_MAG_00011	ORAL_P_C_M_MAG_00013	ORAL_P_D_F_Bin_00011	ORAL_T_A_F_MAG_00011	ORAL_T_A_F_MAG_00015	ORAL_T_A_F_MAG_00016	ORAL_T_B_F_Bin_00010	ORAL_T_B_F_Bin_00011	ORAL_T_B_F_Bin_00014	ORAL_T_B_M_MAG_00011	ORAL_T_B_M_MAG_00012	ORAL_T_C_F_MAG_00008	ORAL_T_C_M_Bin_00011	ORAL_T_C_M_Bin_00012	ORAL_T_C_M_Bin_00015	ORAL_T_C_M_Bin_00022	ORAL_T_C_M_MAG_00008	ORAL_T_D_F_MAG_00008	ORAL_T_D_F_MAG_00010	RAAC3	S_aal	TM7_MAG_III_A_1	TM7_MAG_III_A_2	TM7_MAG_III_B_1	TM7_MAG_III_C_1	TM7_S1_	TM7_S2_	TM7_S7_	TM7c	TM7x
Cellulase/cellobiase CelA1	5	0	4	2	0	3	2	4	4	4	3	3	4	2	4	3	3	4	2	4	4	2	3	4	4	3	4	3	4	0	4	4	2	1	4	3	4	0	3	3	4	4	3	1	4	4	4	1	5	2	0	0	3	4	4
ABC-type multidrug transport system, ATPase and permease component	4	3	3	5	2	5	5	4	4	2	5	3	2	6	5	5	5	3	6	2	2	1	2	3	2	3	2	4	6	2	2	2	2	2	6	3	6	2	4	3	2	2	7	4	2	3	4	2	3	4	2	3	4	0	3
Leucine-rich repeat (LRR) protein	0	1	0	0	1	0	0	1	5	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	9	27	1	1	19	1	7	29	9	0	7	31	0	2	8	29	0	0	0	0	0	3	0	0	1	1	0
Translation elongation factor EF-4, membrane-bound GTPase	1	2	2	2	2	1	2	2	2	2	1	2	2	2	3	2	3	2	2	2	2	1	2	2	1	2	2	2	1	1	2	3	1	2	1	1	1	2	1	2	0	2	1	1	1	1	4	1	2	3	1	2	3	2	2
Arginine deiminase	0	2	4	2	1	1	2	2	2	2	1	2	2	2	1	2	1	2	2	2	2	0	2	2	0	2	1	1	2	2	2	2	0	3	2	0	2	2	2	3	3	2	2	2	2	1	1	1	2	2	1	2	1	2	2
ATP-dependent Clp protease ATP-binding subunit ClpA	3	3	4	4	2	2	3	3	3	3	2	3	3	3	2	4	2	4	4	3	4	2	3	3	2	3	2	2	2	1	3	2	1	3	1	2	1	2	1	1	1	3	1	1	2	2	2	2	6	5	0	2	2	1	3
DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	6	5	6	8	3	7	7	7	7	6	6	5	7	8	7	6	7	6	7	3	4	7	6	7	5	3	5	7	5	2	3	5	1	3	4	3	4	6	4	2	5	4	4	2	6	6	6	4	7	5	4	5	6	4	7
Type II secretory pathway, pseudopilin PulG	2	1	2	3	1	3	3	3	3	2	3	2	3	3	4	3	3	3	3	2	2	3	3	3	2	2	2	3	2	3	7	7	2	4	2	2	2	6	1	2	3	2	2	2	2	2	4	4	4	3	2	1	3	1	3
Tfp pilus assembly protein PilE	12	2	3	4	1	0	4	1	1	2	1	3	5	4	0	4	1	1	4	0	2	0	1	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	28	2	0	0	0	2	0	1	0	3	1
DNA polymerase III, alpha subunit	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	4	1	1	1	1	1	1	1	0	3	2	0	0	1	0	1
Excinuclease UvrABC ATPase subunit	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	2	0	1	0	0	1
HD superfamily phosphodieaserase, includes HD domain of RNase Y	1	2	2	1	1	2	1	2	3	2	3	1	3	3	1	1	2	3	1	2	2	2	2	3	1	1	1	3	2	2	1	1	2	1	2	2	2	1	2	3	1	3	2	2	1	1	1	1	1	2	1	1	1	2	2
DNA-directed RNA polymerase, beta' subunit/160 kD subunit	1	1	2	1	0	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	0	1	0	1	1	1	1	1	1	2	1	0	2	2	1	1	2	0	1	1	1	2	1	1	1	1	1	3	4	0	0	1	0	1
Isoleucyl-tRNA synthetase	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	0	1	1	1	1	1	1	0	2	1	0	0	1	3	1
DNA topoisomerase IA	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	0	2	2	2	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1
Ribosomal protein L21	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1
5'-3' exonuclease	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	3	1	2	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Translation elongation factor EF-Tu, a GTPase	1	1	2	2	0	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	0	0	2	1	1	1	1	1	1	2	1	0	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	2	1	0	1
Molecular chaperone DnaK (HSP70)	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	2	2	1	1	1	0	1
Predicted ATP-dependent serine protease	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	1	1	0	1
